,count_pos_tweets,count_neg_tweets,ratio_pos_tweets,average_lenContent,average_replyCount,average_retweetCount,average_likeCount,average_quoteCount,average_followerCount,average_friendCount,average_pos,average_neu,average_neg,average_compound,count_all,count_hasLinks,count_hasMedia,count_isRetweeted,count_isQuoted,count_hasHashtags,count_verified
2020-03-25,146.0,49.0,0.7487179487179487,217.15151515151516,24.043290043290042,126.27705627705627,370.6060606060606,16.761904761904763,657923.8484848485,3171.7316017316016,0.1694545454545456,0.7347099567099568,0.09586580086580086,0.21220519480519473,231.0,54.0,115.0,0.0,22.0,149.0,0.0
2020-03-26,147.0,90.0,0.620253164556962,220.56766917293234,39.830827067669176,143.37593984962405,569.8684210526316,19.50375939849624,502011.1278195489,14842.364661654135,0.15363157894736842,0.7382706766917294,0.1080864661654136,0.10894624060150378,266.0,56.0,112.0,0.0,27.0,160.0,0.0
2020-03-27,156.0,85.0,0.6473029045643154,225.98540145985402,31.8978102189781,126.10218978102189,415.3029197080292,16.817518248175183,557447.4051094891,4937.653284671533,0.16263138686131384,0.7413284671532844,0.09606569343065695,0.16723868613138693,274.0,56.0,139.0,0.0,23.0,158.0,0.0
2020-03-28,125.0,68.0,0.6476683937823834,216.82222222222222,31.733333333333334,122.86222222222223,411.24444444444447,16.395555555555557,462143.2577777778,4610.386666666666,0.16407111111111108,0.7294044444444446,0.10654666666666664,0.1341262222222222,225.0,53.0,100.0,0.0,21.0,136.0,0.0
2020-03-29,96.0,72.0,0.5714285714285714,229.90052356020942,38.59162303664922,190.31413612565444,751.5968586387435,20.61780104712042,656949.167539267,3275.3193717277486,0.14703664921465973,0.7228481675392676,0.13013089005235606,0.054178010471204165,191.0,52.0,79.0,0.0,18.0,103.0,0.0
2020-03-30,113.0,56.0,0.6686390532544378,214.02463054187191,27.054187192118228,97.08374384236453,409.0344827586207,11.354679802955665,584721.4630541872,3361.92118226601,0.164935960591133,0.7364581280788172,0.09863546798029553,0.17832906403940887,203.0,48.0,98.0,0.0,15.0,117.0,0.0
2020-03-31,142.0,105.0,0.5748987854251012,222.9391891891892,79.95945945945945,129.09459459459458,521.7871621621622,21.820945945945947,446870.51013513515,3718.260135135135,0.14445270270270277,0.7572533783783781,0.09826689189189189,0.09445304054054054,296.0,65.0,113.0,0.0,11.0,184.0,0.0
2020-04-01,137.0,83.0,0.6227272727272727,227.21825396825398,37.95634920634921,116.51190476190476,486.44444444444446,13.90079365079365,475894.0198412698,11121.289682539682,0.1511944444444444,0.7460634920634919,0.10268650793650792,0.12735992063492066,252.0,36.0,120.0,0.0,25.0,164.0,0.0
2020-04-02,125.0,79.0,0.6127450980392157,225.58474576271186,22.35169491525424,92.07627118644068,319.2669491525424,9.23728813559322,531530.0593220339,10183.436440677966,0.15244915254237293,0.7410169491525422,0.10653813559322033,0.10856610169491519,236.0,58.0,104.0,0.0,20.0,145.0,0.0
2020-04-03,107.0,65.0,0.622093023255814,224.88780487804877,33.31707317073171,107.61951219512196,405.1219512195122,21.195121951219512,596783.5512195122,4288.990243902439,0.14094146341463412,0.753448780487805,0.10560000000000001,0.1115629268292684,205.0,47.0,97.0,0.0,20.0,126.0,0.0
2020-04-04,98.0,45.0,0.6853146853146853,228.0062111801242,49.590062111801245,171.30434782608697,763.6211180124224,17.677018633540374,786040.354037267,3161.0248447204967,0.18506832298136647,0.7102608695652173,0.10465217391304348,0.1938434782608696,161.0,45.0,78.0,0.0,13.0,96.0,0.0
2020-04-05,91.0,55.0,0.6232876712328768,219.32584269662922,21.39887640449438,97.04494382022472,429.6292134831461,9.213483146067416,968666.6460674157,7453.38202247191,0.14261797752808986,0.7565505617977532,0.10082022471910115,0.09549550561797751,178.0,53.0,88.0,0.0,9.0,102.0,0.0
2020-04-06,99.0,64.0,0.6073619631901841,222.51269035532994,32.045685279187815,121.73096446700508,547.0,14.685279187817258,557719.3299492386,3984.994923857868,0.13924873096446688,0.7604467005076139,0.10029441624365479,0.09594670050761421,197.0,46.0,100.0,0.0,16.0,114.0,0.0
2020-04-07,99.0,59.0,0.6265822784810127,216.99468085106383,31.69148936170213,140.87234042553192,503.29787234042556,14.75531914893617,412142.8670212766,3307.159574468085,0.1646489361702128,0.7338776595744682,0.10147872340425536,0.1423234042553192,188.0,38.0,98.0,0.0,11.0,127.0,0.0
